ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
CALDAS	Ph.D.	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
CALDAS	Ph.D.	University of California - Davis	MALE	BACHELOR	UNIVERSIDAD DE LOS LLANOS
CLC-DNP	Ph.D.	Ohio State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Michigan State University	MALE	BACHELOR	UNIVERSIDAD DE CALDAS
SRM	MASTER'S	Purdue University	MALE	BACHELOR	ESCUELA AGRICOLA PANAMERICANA, ZAMORANO
CLC-DNP	Ph.D.	Purdue University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	Pennsylvania State University	FEMALE	BACHELOR	UNIVERSIDAD DE CALDAS
CLC-DNP	Ph.D.	University of Iowa	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
LID	Ph.D.	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
CALDAS	Ph.D.	University of California - Davis	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
CALDAS	Ph.D.	Pennsylvania State University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	Ph.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	SUNY College of Environmental Science and Forestry	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	University of Southern California	MALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
CALDAS	Ph.D.	University of Oklahoma	FEMALE	BACHELOR	UNIVERSIDAD DE CALDAS
CALDAS	Ph.D.	Texas A&M University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	University of Arkansas, Fayetteville	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	University of North Dakota	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
LID	Ph.D.	University of Missouri - Columbia	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
LID	Ph.D.	University of Nebraska - Lincoln	MALE	BACHELOR	UNIVERSIDAD DE NARIÃ‘O
LID	Ph.D.	University of Texas at Austin	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
S&T	Ph.D.	Carnegie Mellon University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
DU	Ph.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD DE CALDAS
CALDAS	Ph.D.	University of Nebraska - Lincoln	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
EST. CUL	Ph.D.	Louisiana State University and A&M College	MALE	BACHELOR	UNIVERSIDAD DE SUCRE
CALDAS	Ph.D.		FEMALE	BACHELOR	UNIVERSIDAD ICESI
CALDAS	Ph.D.	SUNY at Binghamton	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	Emory University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
LID	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
HHH	INV & DOC	University of Washington	MALE	BACHELOR	UNIVERSIDAD EAFIT-
HHH	INV & DOC	Massachusetts Institute of Technology	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	The University of Texas at Dallas	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
LID	MASTER'S	Old Dominion University	MALE		ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ
EST. CUL	MASTER'S	University of Oregon	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
SRM	MASTER'S	University of Maryland - College Park	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
SRM	MASTER'S	American University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
LID	MASTER'S	New York University	FEMALE	BACHELOR	UNIVERSIDAD EXTERNADO DE COLOMBIA
SRM	MASTER'S	Temple University	FEMALE	BACHELOR	UNIVERSIDAD EAFIT-
REG	MASTER'S	University of Delaware	MALE	BACHELOR	UNIVERSIDAD FRANCISCO DE PAULA SANTANDER
EST. CUL	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-
CERR	MASTER'S	University of Washington	FEMALE	BACHELOR	UNIVERSIDAD DE LOS LLANOS
SALD. CON	MASTER'S	American University	FEMALE	BACHELOR	COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO
LID	MASTER'S	Worcester Polytechnic Institute	FEMALE	BACHELOR	UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA
EST. CUL	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
SRM	MASTER'S	Brandeis University	FEMALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
REG	Ph.D.	University of Arizona	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
REG	Ph.D.	University of Miami	MALE	BACHELOR	UNIVERSIDAD ICESI
ARTS	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ARTS	MASTER'S	California Institute of the Arts	MALE	BACHELOR	UNIVERSIDAD EAFIT-
ARTS	MASTER'S	University of North Texas	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ARTS	Ph.D.	Columbia University in the City of New York	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ARTS	MASTER'S	University of Southern California	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ARTS	MASTER'S	New York University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	University of Oregon	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	Purdue University	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	Emory University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	Tulane University	FEMALE	BACHELOR	UNIVERSIDAD ICESI
OEA-FLB	MASTER'S	San Diego State University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	Ph.D.	Duke University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	Wake Forest University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
CLC-DNP	Ph.D.	University of Connecticut	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CLC-DNP	Ph.D.	University of Connecticut	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
REG	Ph.D.	University of California - Davis	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	Iowa State University	MALE	BACHELOR	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP
SRM	MASTER'S	University of Pittsburgh - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	MASTER'S	Cornell University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	University of Arizona	FEMALE	BACHELOR	UNIVERSIDAD AUTONOMA DE MANIZALES
REG	Ph.D.	SUNY at Albany	FEMALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
REG	Ph.D.	Ohio University - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DE MANIZALES
CLC-DNP	Ph.D.	University of Kansas	FEMALE	BACHELOR	COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO
SRM	MASTER'S	Syracuse University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
CLC-DNP	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
REG	Ph.D.	University of Wisconsin - Madison	FEMALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
REG	MASTER'S	University of Cincinnati	MALE	BACHELOR	UNIVERSIDAD AUTONOMA DE MANIZALES
REG	Ph.D.	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
SRM	MASTER'S	Duke University	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
REG	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
REG	Ph.D.	SUNY at Binghamton	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
REG	Ph.D.	University of South Carolina - Columbia	FEMALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC-DNP	Ph.D.	Duke University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC-DNP	Ph.D.	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
CLC-DNP	Ph.D.	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
CLC-DNP	Ph.D.	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
DU	MASTER'S	Temple University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	University of Maryland - College Park	MALE	BACHELOR	UNIVERSIDAD EAFIT-
DU	Ph.D.	University of Massachusetts Amherst	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	University of Cincinnati	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
REG	Ph.D.	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
CLC-DNP	Ph.D.	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
REG	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
SRM	MASTER'S	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
REG	Ph.D.	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
OEA-FLB	Ph.D.	Yale University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Michigan State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	American University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	Boston College	MALE	BACHELOR	UNIVERSIDAD EAFIT-
REG	MASTER'S	Ohio State University	MALE	BACHELOR	UNIVERSIDAD DE NARIÃ‘O
CLC-DNP	Ph.D.	Rice University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	University of Illinois at Chicago	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	MASTER'S	Columbia University in the City of New York	FEMALE	BACHELOR	COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO
