ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
CLC- FLB	PH.D.		MALE	BACHELOR	UNIVERSIDAD DE LA SABANA
CLC- FLB	PH.D.	University of Central Florida	MALE	BACHELOR	UNIVERSIDAD DE LA SABANA
SRM	MASTER'S	University of Minnesota Medical Center - Fairview	FEMALE	BACHELOR	UNIVERSIDAD TECNOLOGICA DE BOLIVAR
PETRO	PH.D.	University of Pennsylvania	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
PETRO	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC- FLB	PH.D.	University of Louisville	MALE	BACHELOR	UNIVERSIDAD ICESI
REG	PH.D.	University of Arkansas, Fayetteville	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-LSP	MASTER'S	South Dakota School of Mines and Technology	MALE	BACHELOR	UNIVERSIDAD FRANCISCO DE PAULA SANTANDER
ATG	MASTER'S	Ohio State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	Georgia Institute of Technology - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Ohio State University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Kansas State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	American University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	North Carolina State University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Central Florida	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Columbia University in the City of New York	FEMALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD EAFIT-
JWF	MASTER'S	University of North Florida	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	University of Maryland - College Park	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FS	MASTER'S	SUNY at Binghamton	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	University of California, Berkeley	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-LSP	Ph.D.	University of Hawaii at Manoa	MALE	BACHELOR	UNIVERSIDAD DE NARIÃ‘O
JWF	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD DEL TOLIMA
JWF	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	MASTER'S	Iowa State University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-LSP	MASTER'S	Utah State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	Ph.D.	University of Georgia	MALE	BACHELOR	UNIVERSIDAD SURCOLOMBIANA
FLB-LSP	MASTER'S	California State University - Fresno	MALE	BACHELOR	UNIVERSIDAD SURCOLOMBIANA
JWF	MASTER'S	Ohio State University	MALE	BACHELOR	
JWF	MASTER'S	Clemson University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
HHH	INV & DOC	Cornell University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD DE CORDOBA
CLC-DNP	MASTER'S	University of Pittsburgh - Main Campus	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
ATG	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	University of Notre Dame	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Johns Hopkins University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Cornell University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	University of California - Los Angeles	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
ATG	Ph.D.	Colorado State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Iowa State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Texas A&M University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of California - Los Angeles	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	
JWF	MASTER'S	Stanford University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Stanford University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Maryland - College Park	MALE	BACHELOR	
JWF	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Clemson University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Stevens Institute of Technology	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	Ohio University - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Louisville	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Louisville	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of California, Berkeley	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Vanderbilt University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Duke University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Florida	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Case Western Reserve University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ATG	MASTER'S	Washington University in St Louis	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of South Carolina - Columbia	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	University of Texas at Austin	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Louisville	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Massachusetts Amherst	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Vanderbilt University	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
ATG	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Case Western Reserve University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Virginia Polytechnic Institute and State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of California, Berkeley	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	University of Texas at Austin	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Carnegie Mellon University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Cornell University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Louisiana State University and A&M College	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-ICX	MASTER'S	Marquette University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	Villanova University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ETA	INV & DOC	University of Missouri - Columbia	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-ICX	MASTER'S	University of Iowa	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Vanderbilt University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	MASTER'S	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DE MEDELLIN
SRM	MASTER'S	Ohio State University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	Claremont Graduate University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	
FLB-LSP	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
SRM	MASTER'S	Ohio State University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
FLB-CLC	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	University of Illinois at Urbana-Champaign	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
DU	Ph.D.	University of New Hampshire	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Stanford University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of New Mexico	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	Ph.D.	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Michigan State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Louisville	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Florida	MALE	BACHELOR	UNIVERSIDAD SANTO TOMAS
JWF	MASTER'S	Virginia Polytechnic Institute and State University	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
ATG	Ph.D.	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	University of Southern California	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	Louisiana State University and A&M College	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	Northeastern University	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
ATG	MASTER'S	WHARTON COLLEGE	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
HHH	INV & DOC	UNIVERSITY OF MINNESOTA - TWIN CITIES	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	University of California, Berkeley	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-ICX	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-LSP	MASTER'S	UNIVERSITY OF MINNESOTA - TWIN CITIES	FEMALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-CLC	MASTER'S	University of Cincinnati	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-CLC	Ph.D.	University of South Carolina - Columbia	MALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	University of Massachusetts Amherst	MALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	University of Nebraska - Lincoln	FEMALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	Louisiana State University and A&M College	MALE	BACHELOR	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	University of Vermont	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	Cornell University	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	Louisiana State University and A&M College	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
PAS	INV & DOC	Purdue University	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	MASTER'S	University of Maryland - College Park	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Florida	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
JWF	Ph.D.	University of Pennsylvania	MALE	BACHELOR	
JWF	MASTER'S	University of Pennsylvania	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Arizona	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	MASTER'S	University of Nebraska - Lincoln	MALE	BACHELOR	UNIVERSIDAD DE LA SALLE
CLC-DNP	Ph.D.	University of Arkansas, Fayetteville	FEMALE	BACHELOR	UNIVERSIDAD INCCA DE COLOMBIA
JWF	MASTER'S	Virginia Polytechnic Institute and State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	Harvard University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Texas A&M University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Tulsa	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-ICX	MASTER'S	Colorado School of Mines	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
SRM	MASTER'S	Emory University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
FLB-CLC	Ph.D.	Florida International University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	University of North Carolina at Chapel Hill	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	Pennsylvania State University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
JWF	MASTER'S	University of Rochester	MALE	BACHELOR	UNIVERSIDADE FEDERAL DO CEARA
JWF	MASTER'S	University of Massachusetts Amherst	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Kansas	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	SUNY Stony Brook	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-ICX	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD EAFIT-
JWF	MASTER'S	Iona College	FEMALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-CLC	MASTER'S	Michigan State University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
FLB-ICX	MASTER'S	University of California, Berkeley	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	Michigan State University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	University of Illinois at Chicago	FEMALE	BACHELOR	UNIVERSIDAD EAFIT-
DU	Ph.D.	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	MASTER'S	Temple University	FEMALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	Ph.D.	Ohio State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	University of Southern California	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Syracuse University	FEMALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLB-CLC	MASTER'S	San Diego State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-ICX	MASTER'S	University of Louisville	FEMALE	BACHELOR	UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-
DU	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-
DU	MASTER'S	University of New Mexico	FEMALE	BACHELOR	UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-
FLB-CLC	Ph.D.	University of Nebraska - Lincoln	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
DU	Ph.D.	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-LSP	MASTER'S	The University of Texas at Arlington	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
DU	Ph.D.	University of Kansas	MALE	BACHELOR	UNIVERSIDAD ICESI
DU	MASTER'S	Iowa State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Tufts University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
ATG	MASTER'S	Ohio University - Main Campus	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-CLC	Ph.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD TECNOLOGICA DE BOLIVAR
JWF	MASTER'S	Montana State University - Bozeman	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-LSP	MASTER'S	University of Connecticut	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
CERR	MASTER'S	George Washington University, The	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Louisiana State University and A&M College	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	Colorado State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Stanford University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Southern California	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Wisconsin - Madison	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of the Pacific	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	University of Houston	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Houston	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-LSP	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Case Western Reserve University	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
JWF	MASTER'S	University of Michigan - Ann Arbor	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Southern California	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLB-LSP	MASTER'S	University of Missouri - Columbia	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	MASTER'S	Syracuse University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-LSP	MASTER'S	Purdue University	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	Syracuse University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Syracuse University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ATG	MASTER'S	University of Cincinnati	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-LSP	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	University of South Carolina - Columbia	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Kansas	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLB-LSP	MASTER'S	Rice University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Rensselaer Polytechnic Institute	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
