ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Carnegie Mellon University	PITTSBURGH	MALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE		BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Cornell University	ITHACA	FEMALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Louisiana State University and A&M College	BATON ROUGE	MALE		BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-ICX	MASTER'S	ENGINEERING & APPLIED SCIENCES	Marquette University	MILWAUKEE	MALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Villanova University	VILLANOVA	MALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
ETA	INV & DOC	HUMANITIES & SOCIAL SCIENCES	University of Missouri - Columbia	COLUMBIA	MALE		BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-ICX	MASTER'S	ART & ARCHITECTURE	University of Iowa	IOWA CITY	FEMALE		BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Vanderbilt University	NASHVILLE	MALE		BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	FEMALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE MEDELLIN
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Ohio State University	COLUMBUS	MALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Claremont Graduate University	CLAREMONT	MALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Michigan - Ann Arbor	ANN ARBOR	MALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Ohio State University	COLUMBUS	MALE	MEDELLIN	BACHELOR	INGENIERIA CIVIL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
FLB-CLC	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	ART & ARCHITECTURE	Massachusetts Institute of Technology	CAMBRIDGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
DU	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of New Hampshire	DURHAM	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Stanford University	STANDFORD	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of New Mexico	ALBUQUERQUE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	ENGINEERING & APPLIED SCIENCES	Rensselaer Polytechnic Institute	TROY	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Michigan State University	EAST LANSING	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Rensselaer Polytechnic Institute	TROY	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Rensselaer Polytechnic Institute	TROY	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Pittsburgh - Main Campus	PITTSBURGH	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Louisville	LOUISVILLE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Florida	GAINESVILLE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD SANTO TOMAS
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
ATG	Ph.D.	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	BUSINESS ADMINISTRATION & MANAGEMENT	University of Southern California	LOS ANGELES	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	PHYSICAL SCIENCES & MATHEMATICS	Louisiana State University and A&M College	BATON ROUGE	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Northeastern University	BOSTON	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
ATG	MASTER'S	ENGINEERING & APPLIED SCIENCES	WHARTON COLLEGE	WHARTON	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
HHH	INV & DOC	BUSINESS ADMINISTRATION & MANAGEMENT	UNIVERSITY OF MINNESOTA - TWIN CITIES	TWIN CITIES	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California, Berkeley	BERKELEY	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-ICX	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	UNIVERSITY OF MINNESOTA - TWIN CITIES	TWIN CITIES	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
FLB-CLC	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Cincinnati	CINCINNATI	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
FLB-CLC	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of South Carolina - Columbia	COLUMBIA	MALE	CARTAGENA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Massachusetts Amherst	AMHERST	MALE	CARTAGENA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Nebraska - Lincoln	LINCOLN	FEMALE	CARTAGENA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE CARTAGENA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Louisiana State University and A&M College	BATON ROUGE	MALE	CARTAGENA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Vermont	BURLINGTON	MALE	POPAYAN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Cornell University	ITHACA	MALE	POPAYAN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Louisiana State University and A&M College	BATON ROUGE	MALE	POPAYAN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
PAS	INV & DOC	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	POPAYAN	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	CUCUTA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Maryland - College Park	COLLEGE PARK	FEMALE	PEREIRA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Florida	GAINESVILLE	MALE	BUCARAMANGA	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Stanford University	STANDFORD	MALE	CALI	BACHELOR	INGENIERIA CIVIL	UNIVERSIDAD DEL CAUCA
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Pennsylvania	PHILADELPHIA	MALE		BACHELOR	INGENIERIA CIVIL- ECONOMIA	
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Pennsylvania	PHILADELPHIA	MALE		BACHELOR	INGENIERIA CIVIL Y DE SISTEMAS	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Arizona	TUCSON	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA CIVIL Y DE SISTEMAS	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Nebraska - Lincoln	LINCOLN	MALE		BACHELOR	INGENIERIA DE ALIMENTOS	UNIVERSIDAD DE LA SALLE
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Arkansas, Fayetteville	FAYETTEVILLE	FEMALE	VILLAVICENCIO	BACHELOR	INGENIERIA DE ALIMENTOS	UNIVERSIDAD INCCA DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	MALE		BACHELOR	INGENIERIA DE MINAS	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	EDUCATION	Harvard University	CAMBRIDGE	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE NEGOCIOS	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Texas A&M University	COLLEGE STATION	MALE		BACHELOR	INGENIERIA DE PETROLEOS	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Tulsa	TULSA	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE PETROLEOS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-ICX	MASTER'S	ENGINEERING & APPLIED SCIENCES	Colorado School of Mines	GOLDEN	MALE	BUCARAMANGA	BACHELOR	INGENIERIA DE PETROLEOS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Emory University	ATLANTA	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
FLB-CLC	Ph.D.	ENGINEERING & APPLIED SCIENCES	Florida International University	MIAMI	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	SUNY at Buffalo	BUFFALO	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of North Carolina at Chapel Hill	CHAPEL HILL	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Pennsylvania State University	UNIVERSITY PARK	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of Rochester	ROCHESTER	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE PRODUCCION PESQUERA	UNIVERSIDADE FEDERAL DO CEARA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Massachusetts Amherst	AMHERST	FEMALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Stanford University	STANDFORD	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Stanford University	STANDFORD	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Kansas	LAWRENCE	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY Stony Brook	MANHATTAN	FEMALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
FLB-ICX	MASTER'S	ENGINEERING & APPLIED SCIENCES	Southern Illinois University Carbondale	CARBONDALE	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD EAFIT-
JWF	MASTER'S	EDUCATION	Iona College	NEW ROCHELLE	FEMALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-CLC	MASTER'S	ENGINEERING & APPLIED SCIENCES	Michigan State University	EAST LANSING	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD EAFIT-
FLB-ICX	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of California, Berkeley	BERKELEY	MALE		BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	ENGINEERING & APPLIED SCIENCES	Michigan State University	EAST LANSING	MALE	MEDELLIN	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD EAFIT-
SRM	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Chicago	CHICAGO	FEMALE	MEDELLIN	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD EAFIT-
DU	Ph.D.	BUSINESS ADMINISTRATION & MANAGEMENT	Rensselaer Polytechnic Institute	TROY	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
FLB-CLC	MASTER'S	ENGINEERING & APPLIED SCIENCES	Temple University	PHILADELPHIA	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	Ph.D.	ENGINEERING & APPLIED SCIENCES	Ohio State University	COLUMBUS	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	HUMANITIES & SOCIAL SCIENCES	University of Southern California	LOS ANGELES	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Syracuse University	SYRACUSE	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLB-CLC	MASTER'S	ENGINEERING & APPLIED SCIENCES	San Diego State University	SAN DIEGO	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD DE LOS ANDES
FLB-ICX	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Louisville	LOUISVILLE	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-
DU	MASTER'S	ENGINEERING & APPLIED SCIENCES	Southern Illinois University Carbondale	CARBONDALE	MALE	BUCARAMANGA	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-
DU	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of New Mexico	ALBUQUERQUE	FEMALE	BUCARAMANGA	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-
FLB-CLC	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Nebraska - Lincoln	LINCOLN	MALE	BUCARAMANGA	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
DU	Ph.D.	ENGINEERING & APPLIED SCIENCES	Southern Illinois University Carbondale	CARBONDALE	MALE	BUCARAMANGA	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	The University of Texas at Arlington	ARLINGTON	MALE	BUCARAMANGA	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD INDUSTRIAL DE SANTANDER
DU	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Kansas	LAWRENCE	MALE	CALI	BACHELOR	INGENIERIA DE SISTEMAS	UNIVERSIDAD ICESI
DU	MASTER'S	ENGINEERING & APPLIED SCIENCES	Iowa State University	AMES	MALE	CALI	BACHELOR	INGENIERIA DE SISTEMAS	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	Tufts University	PHILADELPHIA	MALE		BACHELOR	INGENIERIA ELECTRICA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
ATG	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio University - Main Campus	ATHENS	MALE		BACHELOR	INGENIERIA ELECTRICA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	BUCARAMANGA	BACHELOR	INGENIERIA ELECTRICA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-CLC	Ph.D.	ENGINEERING & APPLIED SCIENCES	Washington State University	PULLMAN	MALE	CALI	BACHELOR	INGENIERIA ELECTRICA	UNIVERSIDAD TECNOLOGICA DE BOLIVAR
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Montana State University - Bozeman	BOZEMAN	MALE		BACHELOR	INGENIERIA ELECTROMECANICA	UNIVERSIDAD DEL VALLE
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Connecticut	STORRS	MALE		BACHELOR	INGENIERIA ELECTROMECANICA	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY Stony Brook	MANHATTAN	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DEL CAUCA
CERR	MASTER'S	ENGINEERING & APPLIED SCIENCES	George Washington University, The	WASHINGTON D.C	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA ELECTRONICA	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Louisiana State University and A&M College	BATON ROUGE	MALE		BACHELOR	INGENIERIA ELECTRONICA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
ATG	MASTER'S	ENGINEERING & APPLIED SCIENCES	Colorado State University	FORT COLLINS	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Rensselaer Polytechnic Institute	TROY	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Stanford University	STANDFORD	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Southern California	LOS ANGELES	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Wisconsin - Madison	MADISON	MALE		BACHELOR	INGENIERIA ELECTRONICA	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of the Pacific	STOCKTON	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Houston	HOUSTON	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	SUNY at Buffalo	BUFFALO	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Houston	HOUSTON	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Rensselaer Polytechnic Institute	TROY	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Rensselaer Polytechnic Institute	TROY	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD INDUSTRIAL DE SANTANDER
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	Case Western Reserve University	CLEVELAND	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DEL CAUCA
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Michigan - Ann Arbor	ANN ARBOR	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Southern California	LOS ANGELES	MALE		BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
