ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
DU	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Rutgers, The State University of New Jersey	NEW BRUNSWICK	MALE	CALI	BACHELOR	ANTHROPOLOGY	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	EDUCATION	University of Missouri - Columbia	COLUMBIA	FEMALE	BOGOTA D.C.	BACHELOR	FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS, OTHER	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	MALE	MEDELLIN	BACHELOR	INGENIERIA MECANICA	UNIVERSIDAD EAFIT-
VS	INV & DOC	ENGINEERING & APPLIED SCIENCES	University of Oklahoma	NORMAN	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
VS	INV & DOC	ENGINEERING & APPLIED SCIENCES	University of Illinois at Urbana-Champaign	URBANA - CHAMPAIGN	FEMALE	MEDELLIN	BACHELOR	INGENIERIA MECANICA	UNIVERSIDAD NACIONAL DE COLOMBIA
FLTA	INV & DOC	EDUCATION	Susquehanna University	SELINSGROVE	FEMALE	BOGOTA D.C.	BACHELOR	FILOLOGIA Y LENGUAS	UNIVERSIDAD NACIONAL DE COLOMBIA
FLTA	INV & DOC	EDUCATION	Willamette University	SALEM	FEMALE	MEDELLIN	BACHELOR	TRADUCCION INGLES - FRANCES - ESPAÑOL	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	North Carolina State University	RALEIGH	MALE	CANDELARIA	BACHELOR	AGRONOMY AND CROP SCIENCE	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	LAW	American University	DISTRICT OF COLUMBIA	FEMALE	BARRANQUILLA	BACHELOR	LAW (LL.B., J.D.)	UNIVERSIDAD DEL NORTE
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Ohio University - Main Campus	ATHENS	FEMALE	BARRANQUILLA	BACHELOR	COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, OTHER	UNIVERSIDAD DEL NORTE
SRM	MASTER'S	ENGINEERING & APPLIED SCIENCES	Worcester Polytechnic Institute	WORCESTER	FEMALE	ENVIGADO	BACHELOR	COMPUTER/INFORMATION TECHNOLOGY SERVICES ADMINISTRATION & MANAGEMENT, OTHER	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of South Florida	TAMPA	FEMALE	BARRANQUILLA	BACHELOR	MEDICAL MICROBIOLOGY AND BACTERIOLOGY	UNIVERSIDAD LIBRE
